Vendor ID,Company Name,Vendor Type,GST Number,Contact Person,Email,Phone Number,Address,Bank Account,Payment Terms,Contract Start Date,Annual Contract Value,Service Rating,Last Transaction Date,Primary Location
VEN308788,Som-Bail,Contractor,80SK709889,Rudra Walla,contact@som-bail.com,9951699352,"H.No. 271, Tailor Road, Karawal Nagar-641003",412625568729,Net 30,26-11-2023,INR 9113689,1,10-12-2024,Siliguri
VEN805779,"Banerjee, Chad and Bobal",Contractor,33ZH370403,Damini Gola,"contact@banerjee,chadandbobal.com",9288048160,"47/67, Mani Road, Ajmer 502989",856557930536,Advance,06-04-2023,INR 1517190,4,24-04-2024,Udupi
VEN004505,Manne and Sons,Contractor,78JF040440,Raghav Murty,contact@manneandsons.com,9108171517,"647, Ramachandran Path, Bhimavaram 582491",171175331119,Net 45,29-10-2024,INR 39534689,5,18-11-2024,Sangli-Miraj & Kupwad
VEN155625,Madan PLC,Consultant,28BP623953,Ekani Joshi,contact@madanplc.com,9006988263,"99/78, Anand Chowk, Jorhat-031398",554489919537,Advance,07-06-2023,INR 3792108,1,13-10-2024,Chapra
VEN006690,"Bajwa, Sastry and Bobal",Service Provider,52GN772552,Yug Rai,"contact@bajwa,sastryandbobal.com",9769752927,"165, Sibal Circle, Kollam 936269",638429996965,Net 30,04-02-2025,INR 18533004,1,22-10-2024,Kirari Suleman Nagar
VEN170523,Chaudry-Muni,Supplier,68ZD710521,Faris Bahri,contact@chaudry-muni.com,9568285901,"668, Merchant, Anantapur 500681",215142679634,Net 45,08-08-2023,INR 311401,1,18-05-2024,Gandhinagar
VEN512265,Gopal-Sidhu,Service Provider,94YZ506873,Mason Pradhan,contact@gopal-sidhu.com,9112205765,"49, Rajagopalan Marg, Jehanabad-926190",510703296726,Net 30,29-01-2025,INR 25796644,5,06-03-2024,Bokaro
VEN788570,Nair PLC,Contractor,80VA352047,Advik Johal,contact@nairplc.com,9266128050,"31/406, Edwin Ganj, Ambattur-788241",594688365932,Advance,02-12-2023,INR 34464243,5,05-10-2024,Nandyal
VEN398300,Bhalla and Sons,Contractor,32KT730067,Mitali Sachdeva,contact@bhallaandsons.com,9401282522,"97, Master Street, Ratlam 953016",279977863441,Net 45,23-02-2024,INR 30807646,3,15-01-2025,Sri Ganganagar
VEN862539,Soni-Malhotra,Supplier,37ZB501664,Lohit Som,contact@soni-malhotra.com,9618987272,"H.No. 159, Mani Ganj, Orai 351240",339794009369,Net 45,15-03-2024,INR 45818155,2,30-06-2024,Rewa
VEN279060,Ramakrishnan LLC,Contractor,28IT003775,Champak Palla,contact@ramakrishnanllc.com,9993593107,"29, Banerjee Road, Bangalore-703483",695476395473,Net 45,07-08-2024,INR 34475078,5,23-01-2025,North Dumdum
VEN079546,Kumar Ltd,Contractor,29NM397890,Aarush Johal,contact@kumarltd.com,9230824510,"64, Batra Road, Adoni 911927",051477565624,Net 45,07-12-2024,INR 31990566,2,11-03-2024,Muzaffarpur
VEN093632,Vohra-Ramanathan,Service Provider,58OH157295,Ekapad Jain,contact@vohra-ramanathan.com,9381935448,"H.No. 25, Choudhry Marg, Amaravati-280018",337679981086,Advance,11-01-2025,INR 9128244,3,28-10-2024,Dehri
VEN070531,"Borah, Sinha and Sachar",Service Provider,28IC931090,Pushti Naidu,"contact@borah,sinhaandsachar.com",9599768601,"H.No. 05, Iyengar Street, Surendranagar Dudhrej-570502",201509864276,Net 45,07-12-2023,INR 36263923,5,28-11-2024,Hindupur
VEN714755,"Doctor, Ranganathan and Divan",Consultant,11QL018258,Zaid Andra,"contact@doctor,ranganathananddivan.com",9028755816,"75, Badal, Kishanganj 480684",517271458317,Advance,04-01-2025,INR 42771580,5,29-11-2024,Dhule
VEN448256,Maharaj Group,Supplier,90NY105052,Tanmayi Bhavsar,contact@maharajgroup.com,9393974968,"H.No. 446, Parmer Marg, Proddatur-145385",319737536048,Net 30,20-10-2024,INR 19085638,3,16-12-2024,Jalgaon
VEN178258,Munshi and Sons,Supplier,15BB559858,Mekhala Sami,contact@munshiandsons.com,9573778642,"82/91, Balakrishnan Marg, Gurgaon 645334",882399113625,Net 30,12-12-2023,INR 3988508,4,12-12-2024,Bharatpur
VEN133267,Bandi LLC,Service Provider,83VN476697,Bakhshi Sura,contact@bandillc.com,9560308973,"H.No. 084, Chakraborty Street, Chandrapur-943824",580121050875,Net 45,27-02-2023,INR 49577327,3,25-08-2024,Bhavnagar
VEN845916,"Upadhyay, Bail and Venkatesh",Contractor,94EV969593,Qasim Chacko,"contact@upadhyay,bailandvenkatesh.com",9407673836,"37, Pradhan, Dewas 069284",792313033147,Net 30,17-05-2023,INR 20083233,3,27-07-2024,Medininagar
VEN034931,Ramachandran-Luthra,Service Provider,10CK557797,Zansi Bora,contact@ramachandran-luthra.com,9858802978,"H.No. 53, Gill Ganj, Orai 938611",388415123167,Net 45,13-10-2023,INR 15855436,1,14-10-2024,Gorakhpur
VEN629692,Deo PLC,Contractor,88XM125707,Bhavika Shenoy,contact@deoplc.com,9503337383,"H.No. 39, Muni Chowk, Jammu 292648",256036202896,Advance,15-02-2024,INR 25948921,1,08-03-2024,Tiruvottiyur
VEN878207,Lall Inc,Consultant,55IY865377,Quincy Maharaj,contact@lallinc.com,9199403880,"H.No. 374, Rai Nagar, Jhansi 487206",302303470587,Net 60,01-01-2025,INR 28038071,1,20-05-2024,Etawah
VEN773937,Pandya-Vasa,Consultant,03CC548198,Jai Madan,contact@pandya-vasa.com,9577067508,"040, Deshmukh Zila, Vijayawada-031955",813512533626,Net 45,29-08-2023,INR 33716146,4,12-05-2024,Kirari Suleman Nagar
VEN442478,Bera Ltd,Contractor,84NM086150,Daksha Parmar,contact@beraltd.com,9983183351,"H.No. 868, Bali Circle, Kakinada-108899",971741137733,Net 45,23-09-2023,INR 18419995,2,19-05-2024,Madanapalle
VEN715968,Jhaveri-Bawa,Service Provider,41VX787689,Wriddhish Barad,contact@jhaveri-bawa.com,9689272367,"62, Mahajan Marg, Pali-936343",639008866361,Net 45,27-01-2024,INR 25029215,2,03-07-2024,Ozhukarai
VEN822809,"Ramesh, Shenoy and Sharaf",Service Provider,07FN848532,Kamya Dugal,"contact@ramesh,shenoyandsharaf.com",9553253685,"H.No. 66, Kar Nagar, Baranagar 770378",607245653940,Advance,22-05-2023,INR 7224755,3,12-08-2024,Alwar
VEN681299,Borah-Chowdhury,Contractor,92ZN772627,Lohit Suri,contact@borah-chowdhury.com,9322639051,"74, Shetty, Solapur-295032",017359336597,Net 60,13-02-2024,INR 33452876,4,26-05-2024,Dhule
VEN134067,Lala LLC,Supplier,05PP232881,Pushti Morar,contact@lalallc.com,9374692677,"51, Sandhu Chowk, Pimpri-Chinchwad 999412",847656967941,Advance,17-08-2024,INR 35892134,1,30-04-2024,Tezpur
VEN392738,Srinivasan-Raja,Contractor,10FE817237,Wyatt Chandran,contact@srinivasan-raja.com,9657430828,"18/637, Patil, Chinsurah 653800",125637411083,Net 30,01-03-2023,INR 14018354,5,08-09-2024,Guna
VEN517921,Garg-Ganguly,Supplier,01BM463945,Abhimanyu Korpal,contact@garg-ganguly.com,9573230996,"H.No. 485, Rau Street, Mahbubnagar-032973",322026455370,Net 45,07-05-2024,INR 9630225,5,02-06-2024,Hapur
VEN584471,"Wadhwa, Bajaj and Saini",Contractor,55RD869031,Simon Wali,"contact@wadhwa,bajajandsaini.com",9048565953,"35/25, Sama Chowk, Kadapa-652409",384227252368,Net 60,05-10-2023,INR 31475426,5,24-09-2024,Nagpur
VEN648041,"Kurian, Samra and Bhargava",Contractor,22BY134635,Xalak Nayak,"contact@kurian,samraandbhargava.com",9848699998,"83, Bir, Bongaigaon 613704",111422164640,Net 60,31-10-2023,INR 9159708,4,17-11-2024,Tiruchirappalli
VEN188679,Magar-Goda,Consultant,04UY214026,Viraj Khosla,contact@magar-goda.com,9359772272,"H.No. 096, Yohannan Path, Ambala 344718",040290652608,Net 30,10-03-2023,INR 25052700,1,07-07-2024,Bhiwani
VEN709860,Gill-Bahri,Service Provider,69VP797224,Matthew Nayak,contact@gill-bahri.com,9660003050,"H.No. 69, Natt Circle, Ballia 211853",464259929948,Net 45,06-03-2023,INR 42288981,3,23-08-2024,Dehradun
VEN435218,Menon Group,Contractor,68YL288367,Dipta Lala,contact@menongroup.com,9149920316,"044, Dar Chowk, Barasat 366151",544994447425,Net 45,06-07-2023,INR 36015291,3,01-04-2024,Machilipatnam
VEN157721,Solanki-Raman,Supplier,30QP828228,Lohit Chokshi,contact@solanki-raman.com,9524117994,"H.No. 39, Bawa, Guwahati 039355",796015473010,Net 45,17-11-2023,INR 11215189,2,27-05-2024,Thane
VEN485478,Sunder LLC,Consultant,74ZP424401,Qadim Rajan,contact@sunderllc.com,9624261232,"H.No. 270, Pathak Marg, Bardhaman 830432",650771408277,Net 30,25-03-2024,INR 28927899,3,24-07-2024,Kottayam
VEN125149,"Sidhu, Goda and Palla",Contractor,58PR069275,Upma Venkataraman,"contact@sidhu,godaandpalla.com",9706682777,"39/24, Narasimhan Nagar, Ghaziabad-484132",577158038754,Net 45,18-04-2024,INR 12239118,2,03-12-2024,Gulbarga
VEN071984,Tank LLC,Service Provider,66DR244922,Rohan Bawa,contact@tankllc.com,9090420930,"578, Varughese Nagar, Belgaum-444673",422316447153,Advance,17-05-2023,INR 14225304,5,16-09-2024,Mangalore
VEN284203,"Basak, Jayaraman and Nagy",Supplier,18ZJ664679,Akshay Handa,"contact@basak,jayaramanandnagy.com",9022869335,"72/070, Modi Street, Sonipat-825687",788189079563,Net 30,03-09-2024,INR 36892198,5,22-08-2024,Siwan
VEN812334,"Balay, Gopal and Batra",Consultant,25IY365253,Oni Tata,"contact@balay,gopalandbatra.com",9459660379,"92/14, Kibe Circle, Kulti 647851",475312869056,Net 60,10-03-2024,INR 27787024,2,29-04-2024,Berhampur
VEN003648,Lalla PLC,Service Provider,12JI232618,Arunima Khalsa,contact@lallaplc.com,9444583018,"H.No. 005, Singhal Nagar, Mysore 795105",978482565031,Net 60,24-01-2025,INR 45038709,3,24-06-2024,Gandhidham
VEN948234,Virk and Sons,Service Provider,92OR451997,Udyati Khosla,contact@virkandsons.com,9649209409,"44/26, Ravel Path, Warangal-155616",274698034330,Net 30,15-02-2025,INR 17403780,4,20-02-2025,North Dumdum
VEN371505,"Varghese, Golla and Bera",Service Provider,27GG437842,Chandresh Desai,"contact@varghese,gollaandbera.com",9833347637,"87, Soni Zila, Karaikudi 649916",099207322321,Net 45,30-06-2023,INR 37858378,5,05-05-2024,Silchar
VEN025087,Barad PLC,Contractor,16LX682771,Mugdha Lad,contact@baradplc.com,9131780561,"H.No. 87, Hayre Road, Danapur-505351",586074501667,Net 45,15-04-2023,INR 25130196,2,19-07-2024,Khammam
VEN842883,Wagle and Sons,Consultant,62KZ275115,Logan Varty,contact@wagleandsons.com,9268337442,"502, Sridhar, Gaya-581925",817662635342,Net 45,15-09-2024,INR 30744973,3,01-12-2024,Solapur
VEN176073,Sagar LLC,Consultant,40GB631890,Qadim Deo,contact@sagarllc.com,9782891477,"41, Rajagopalan Ganj, Ambala-692633",247668449229,Net 30,30-04-2023,INR 26317399,4,03-02-2025,Pondicherry
VEN337250,Basu and Sons,Service Provider,52QM963968,Wyatt Bali,contact@basuandsons.com,9770558880,"H.No. 171, Mammen Street, Chittoor-203218",858016677924,Net 30,23-08-2024,INR 20163040,3,23-09-2024,Fatehpur
VEN232381,Balan and Sons,Service Provider,27JR621497,Qushi Koshy,contact@balanandsons.com,9508209065,"65/823, Roy Street, New Delhi 639705",468029438020,Advance,10-02-2025,INR 29973015,4,23-12-2024,Solapur
VEN693990,Suri LLC,Contractor,76FH813183,Chatura Pall,contact@surillc.com,9078440863,"87/427, Zacharia Road, Vijayawada-557962",900823775870,Net 30,29-06-2024,INR 38287553,3,24-10-2024,Bhiwandi
VEN036294,Sarkar-Kumer,Contractor,79RY685717,Adweta Dixit,contact@sarkar-kumer.com,9944369425,"87/95, Walia, Ozhukarai-107509",820990504138,Net 45,14-05-2023,INR 42689468,5,15-09-2024,Bhagalpur
VEN029779,Goel PLC,Contractor,57EK079231,Aachal Kamdar,contact@goelplc.com,9411398565,"H.No. 619, Dua Zila, Sambhal-908893",093768604100,Net 30,06-08-2023,INR 6333157,1,21-12-2024,Bardhaman
VEN290763,Keer-Karpe,Contractor,36HX913675,Omaja Gopal,contact@keer-karpe.com,9787388848,"237, Setty Road, Gurgaon 779547",905235507557,Advance,18-10-2023,INR 4627794,2,01-08-2024,Tadepalligudem
VEN887644,Jain-Johal,Consultant,72SL290881,Pahal Kade,contact@jain-johal.com,9677619317,"41/01, Tella Road, Bhiwani 405748",792174959039,Advance,12-12-2024,INR 43799525,4,30-07-2024,Anand
VEN099085,"Badal, Merchant and Din",Consultant,94NP967032,Ansh Bains,"contact@badal,merchantanddin.com",9364066151,"H.No. 06, Madan Marg, Bettiah 585557",163611684158,Net 60,30-10-2023,INR 10829516,4,16-04-2024,Dibrugarh
VEN477787,"Misra, Dhar and Bali",Contractor,09HT951699,Tara Tiwari,"contact@misra,dharandbali.com",9754850814,"418, Chadha Zila, Jammu 039365",014762284794,Net 30,01-11-2024,INR 5164763,5,08-05-2024,Sambhal
VEN360617,Pandit-Virk,Contractor,93GA665619,Faras Dugar,contact@pandit-virk.com,9694456247,"H.No. 396, Savant Marg, Dewas 563296",163901648816,Net 30,22-01-2025,INR 47566341,1,15-07-2024,Surendranagar Dudhrej
VEN677537,Uppal Ltd,Supplier,04PL596773,Yashasvi More,contact@uppalltd.com,9446180668,"H.No. 11, Narula Marg, Bardhaman-035349",176878213868,Net 45,25-11-2023,INR 38171220,5,16-08-2024,Bhopal
VEN167146,Shetty LLC,Supplier,32WM603986,Yasti Mody,contact@shettyllc.com,9590422163,"H.No. 52, Gopal Zila, Kamarhati 072744",425903452204,Net 45,13-01-2025,INR 29243697,4,06-11-2024,Maheshtala
VEN205568,Wadhwa-Sekhon,Supplier,84QS279918,Falan Mallick,contact@wadhwa-sekhon.com,9201726464,"47, Morar Zila, Durg 828783",069730391638,Net 45,25-10-2024,INR 27474760,1,05-08-2024,Kota
VEN793419,Hari-Gandhi,Supplier,95SB344981,Urmi Som,contact@hari-gandhi.com,9022134360,"H.No. 570, Anand Nagar, Satara-235560",546857104421,Net 60,01-08-2023,INR 46744559,3,25-08-2024,Pimpri-Chinchwad
VEN186265,"Wagle, Sanghvi and Sandal",Consultant,80RQ218932,Eiravati Doctor,"contact@wagle,sanghviandsandal.com",9368309423,"608, Shetty Zila, Dhanbad 346454",268203545354,Advance,06-08-2023,INR 26171381,3,14-04-2024,Korba
VEN551122,Guha LLC,Service Provider,48VF277859,Elijah Varkey,contact@guhallc.com,9218481749,"H.No. 874, Sangha Circle, Danapur 514075",587450731779,Net 60,21-11-2024,INR 13423689,2,07-06-2024,Gangtok
VEN770206,Apte-Suresh,Service Provider,26HV608462,Mitali Jayaraman,contact@apte-suresh.com,9931859070,"38/711, Badami Road, Allahabad-065351",603662222240,Advance,17-12-2023,INR 13103474,2,07-01-2025,Aizawl
VEN036514,Kashyap-Kadakia,Contractor,48KO474208,Isaiah Mahal,contact@kashyap-kadakia.com,9767759469,"35/50, Ghose Ganj, Mangalore 168401",066464766441,Net 60,15-09-2023,INR 14242342,2,21-02-2024,Chinsurah
VEN079323,Bhat and Sons,Contractor,41DL461234,Rayaan Shanker,contact@bhatandsons.com,9869648316,"258, Rau Path, Amritsar 489082",718589393444,Net 60,25-07-2024,INR 4455321,3,30-06-2024,Bhubaneswar
VEN002809,Pathak-Chhabra,Contractor,78LP201046,Libni Rege,contact@pathak-chhabra.com,9624130784,"23/22, Shere Circle, Jamalpur 408337",890694314274,Advance,14-01-2024,INR 49322304,4,02-08-2024,Vadodara
VEN255249,Sangha Group,Supplier,42RP590457,Zaid Dutta,contact@sanghagroup.com,9319186917,"13/08, Shukla Nagar, Naihati 839772",384958965161,Advance,14-12-2024,INR 35561424,3,08-04-2024,Amritsar
VEN578588,Naidu Group,Service Provider,40NV465222,Girish Som,contact@naidugroup.com,9984005193,"H.No. 45, Pradhan, Latur-573389",396170958275,Net 60,02-10-2023,INR 28438161,5,25-02-2024,Bareilly
VEN867277,Chander and Sons,Supplier,46AH573586,Geetika Balakrishnan,contact@chanderandsons.com,9588378215,"H.No. 620, Peri, Junagadh-198958",608355994784,Net 60,25-09-2023,INR 48600775,4,24-10-2024,Alwar
VEN486053,"Oak, Krishnamurthy and Srinivasan",Service Provider,70OF020604,Lajita Nayar,"contact@oak,krishnamurthyandsrinivasan.com",9403112679,"903, Bumb Marg, Mirzapur-758771",223707363746,Net 30,25-08-2023,INR 47351786,3,10-10-2024,Bidhannagar
VEN833534,"Iyengar, Sahni and Sharma",Consultant,26XE751457,Zehaan Magar,"contact@iyengar,sahniandsharma.com",9448183503,"H.No. 319, Din, Maheshtala-088382",832175175468,Net 30,02-07-2024,INR 24781826,4,14-07-2024,Varanasi
VEN112800,Ravel-Seshadri,Service Provider,31PQ345618,Ishaan Borra,contact@ravel-seshadri.com,9036340743,"67/93, Devi Ganj, Ludhiana 763187",903008001868,Net 60,12-01-2025,INR 41198343,3,02-09-2024,Buxar
VEN730506,Baria-Varkey,Contractor,52VN715556,Yash Ramachandran,contact@baria-varkey.com,9713197836,"841, Sachdeva Ganj, Narasaraopet 291348",128192224906,Net 45,22-02-2024,INR 49575884,5,16-06-2024,North Dumdum
VEN066244,"Modi, Venkatesh and Sarin",Contractor,99BA374159,Noah Kumer,"contact@modi,venkateshandsarin.com",9771212402,"94, Sankaran, Tezpur 104377",198398802938,Net 45,12-01-2024,INR 408528,4,17-11-2024,Jehanabad
VEN371347,Barman Ltd,Service Provider,88JG588318,Jairaj Mittal,contact@barmanltd.com,9623594322,"68/452, Tripathi, Meerut 568967",902271024207,Net 30,03-05-2023,INR 4411606,2,29-06-2024,Chennai
VEN588625,Mall-Sengupta,Consultant,52BR625878,Qadim Dugal,contact@mall-sengupta.com,9261922351,"H.No. 029, Guha Chowk, Maheshtala 068850",778895206467,Net 60,22-01-2025,INR 13295980,3,17-08-2024,Durg
VEN647369,Golla and Sons,Supplier,79XG120034,Aryan Srinivas,contact@gollaandsons.com,9351932067,"25/11, Bahl Marg, Kadapa-966767",177552707742,Net 60,04-10-2023,INR 759251,3,20-08-2024,Mehsana
VEN258005,"Upadhyay, Vasa and Badami",Consultant,84FQ841117,Fitan Contractor,"contact@upadhyay,vasaandbadami.com",9081125104,"27/02, Oza, Ranchi-827662",733996098315,Advance,10-01-2024,INR 19073884,1,19-08-2024,Serampore
VEN126526,Jain-Kara,Contractor,32LP345877,Amaira Dugar,contact@jain-kara.com,9079367515,"H.No. 045, Chad Marg, Thrissur-662434",385984001243,Net 45,06-03-2024,INR 25603915,5,30-07-2024,Madurai
VEN811245,"Bhandari, Kadakia and Bhatti",Supplier,79NA010356,Lila Apte,"contact@bhandari,kadakiaandbhatti.com",9088145882,"70, Narula Marg, Anantapuram 534845",658105287515,Net 45,26-10-2024,INR 49307554,1,28-11-2024,Bhalswa Jahangir Pur
VEN513960,Mistry-Bhattacharyya,Supplier,00YC281881,Rushil Bhandari,contact@mistry-bhattacharyya.com,9905239216,"H.No. 56, Dayal Marg, Ballia-468862",909867719617,Net 60,07-03-2023,INR 2594795,3,08-06-2024,Pimpri-Chinchwad
VEN614249,"Walla, Loke and Narasimhan",Contractor,56MT104005,Chakradhar Kohli,"contact@walla,lokeandnarasimhan.com",9378372645,"764, Ratta Path, Vellore-929691",092664707478,Net 45,24-10-2024,INR 14002613,5,24-04-2024,Haldia
VEN065488,Borra and Sons,Service Provider,56YT959821,Jatin Randhawa,contact@borraandsons.com,9011380565,"27/85, Badami Chowk, Sri Ganganagar 173818",795798687394,Advance,30-05-2024,INR 2361589,3,19-10-2024,Mango
VEN220340,"Mitra, Grover and Baria",Consultant,78VX258889,Shivani Bal,"contact@mitra,groverandbaria.com",9036033108,"88, Ramaswamy Road, Purnia 824969",100376333695,Net 30,29-06-2023,INR 25545277,4,15-04-2024,Anand
VEN646259,Sama PLC,Supplier,18KG275440,Yochana Contractor,contact@samaplc.com,9589084750,"64/450, Sharma Road, Morbi 741773",792198995890,Net 30,24-03-2023,INR 42146369,3,03-01-2025,Burhanpur
VEN830382,Bhatti Ltd,Consultant,28BU896673,Upkaar Kala,contact@bhattiltd.com,9571634059,"H.No. 804, Gulati Chowk, Gwalior 494816",334505818923,Net 30,23-04-2023,INR 44044056,5,09-11-2024,Tadepalligudem
VEN506687,"Krishnan, Pandit and Thakur",Consultant,34GJ863080,Fariq Chaudhuri,"contact@krishnan,panditandthakur.com",9330983240,"79/208, Pai Ganj, Silchar-471154",030084555854,Advance,26-07-2023,INR 33422288,3,03-08-2024,Karimnagar
VEN055034,Panchal-Patla,Consultant,39FK609266,Kashvi Ravi,contact@panchal-patla.com,9662833699,"76, Rai Street, Ghaziabad 147961",460073660327,Net 45,12-01-2025,INR 1770688,5,13-07-2024,Ajmer
VEN519039,"Guha, Saini and Wagle",Consultant,96BV077576,Kala Gaba,"contact@guha,sainiandwagle.com",9299165406,"H.No. 19, Dora Marg, Mathura-491578",851509292404,Net 30,04-03-2024,INR 36114247,2,27-01-2025,Karimnagar
VEN498545,Sharma-Bhattacharyya,Consultant,29GG190069,Isha Kanda,contact@sharma-bhattacharyya.com,9678772056,"H.No. 840, Bhagat Ganj, Kozhikode-837124",472539558164,Net 60,17-12-2023,INR 30096734,5,03-10-2024,Dhanbad
