Employee ID,First Name,Last Name,Department,Designation,Joining Date,Email,Phone Number,Office Location,Salary,Reporting Manager,Performance Rating,Years of Experience,Education,Emergency Contact
EMP876451,Banjeet,Kale,IT,Team Lead,13-07-2021,banjeet.kale@company.com,9729314797,Thanjavur,INR 139355,Qadim Manda,1,11,M.Tech,9127130298
EMP335460,Maanas,Rastogi,HR,Team Lead,09-02-2021,maanas.rastogi@company.com,9110214292,Jalgaon,INR 884501,Lakshit Dave,5,2,B.Sc,9478377900
EMP576184,Balhaar,Chhabra,IT,Manager,24-01-2022,balhaar.chhabra@company.com,9423490625,Raipur,INR 1623053,Gunbir Bora,3,19,MBA,9689322690
EMP079882,Janya,Gill,Operations,Team Lead,22-03-2021,janya.gill@company.com,9386302398,Phusro,INR 1103764,Nicholas Raman,4,11,M.Tech,9453255920
EMP003934,Ira,Salvi,Operations,Team Lead,22-11-2024,ira.salvi@company.com,9647409341,Bulandshahr,INR 1824858,Udant Pingle,2,2,B.Tech,9624845550
EMP434220,Gaurika,Thaker,Operations,Junior Executive,16-11-2020,gaurika.thaker@company.com,9221868581,Kishanganj,INR 1585218,Hemangini Krishna,2,14,M.Tech,9927110130
EMP795158,Krish,Mangat,Marketing,Associate,05-08-2020,krish.mangat@company.com,9050914209,Anand,INR 1246044,Jackson D’Alia,5,5,B.Tech,9566820986
EMP261284,Kashish,Tella,IT,Senior Executive,24-02-2023,kashish.tella@company.com,9210846491,Vasai-Virar,INR 778933,Inaya Naik,4,17,MBA,9393071406
EMP775621,Max,Handa,HR,Senior Executive,04-09-2024,max.handa@company.com,9009932273,Kirari Suleman Nagar,INR 1766421,Anika Saraf,2,14,B.Tech,9237892203
EMP864912,Aishani,Kale,Operations,Associate,31-12-2022,aishani.kale@company.com,9436684738,Bhopal,INR 542743,Ubika Madan,2,7,M.Tech,9663031602
EMP746655,Jagat,Suresh,Marketing,Junior Executive,12-08-2020,jagat.suresh@company.com,9566626032,Sambhal,INR 951821,Oni Basu,4,0,M.Tech,9562540378
EMP513497,Vamakshi,Barad,IT,Manager,20-01-2025,vamakshi.barad@company.com,9583136288,Bijapur,INR 1067890,Ucchal Dalal,1,16,M.Tech,9919801668
EMP933809,Anay,Mahal,Marketing,Team Lead,15-11-2021,anay.mahal@company.com,9916956943,Lucknow,INR 868738,Finn Shetty,4,8,M.Tech,9923350381
EMP749590,Tara,Bhat,Finance,Manager,18-09-2021,tara.bhat@company.com,9153316056,Faridabad,INR 40845,Anita Hari,3,15,MBA,9863326773
EMP341230,Tamanna,Malhotra,IT,Senior Executive,05-09-2020,tamanna.malhotra@company.com,9188660222,Chinsurah,INR 1854130,Garima Sachdev,3,11,B.Sc,9687675385
EMP288411,Daksha,Palla,IT,Senior Executive,12-05-2022,daksha.palla@company.com,9655666067,Hapur,INR 1334578,Faras Patla,1,20,M.Tech,9478340193
EMP408634,Sathvik,Char,Finance,Junior Executive,31-05-2020,sathvik.char@company.com,9913226428,Medininagar,INR 1018458,Triya Dayal,1,0,MBA,9695822816
EMP091251,Vasudha,Mutti,Marketing,Manager,17-10-2024,vasudha.mutti@company.com,9176550979,Asansol,INR 211711,Vrishti Bajaj,1,11,B.Tech,9477875931
EMP928720,Ishwar,Babu,IT,Manager,01-11-2022,ishwar.babu@company.com,9578561799,Chandigarh,INR 455830,Jackson Rau,3,17,M.Tech,9027024596
EMP198801,Nakul,Swaminathan,Operations,Senior Executive,06-12-2020,nakul.swaminathan@company.com,9995896128,Asansol,INR 1849810,Imaran Sachdeva,1,4,B.Sc,9901739144
EMP258114,Vincent,Basu,Marketing,Associate,03-02-2024,vincent.basu@company.com,9677583173,Sangli-Miraj & Kupwad,INR 205029,Anya Kannan,1,13,B.Tech,9696452228
EMP520018,Pooja,Saini,HR,Associate,26-11-2021,pooja.saini@company.com,9243012973,Vasai-Virar,INR 1208062,Mitali Divan,4,2,MBA,9505573504
EMP896194,Bhavika,Oza,Operations,Senior Executive,09-09-2020,bhavika.oza@company.com,9940963304,Rajpur Sonarpur,INR 555121,Ati Palla,4,17,B.Com,9245884407
EMP889949,Balhaar,Gandhi,Finance,Manager,06-01-2025,balhaar.gandhi@company.com,9122282217,Kottayam,INR 605730,Lakshit Menon,3,3,M.Tech,9439787553
EMP691753,Idika,Soman,HR,Senior Executive,24-04-2024,idika.soman@company.com,9990075103,Surendranagar Dudhrej,INR 147741,Avi Bhatia,3,2,MBA,9228426881
EMP481754,Yatin,Butala,Operations,Junior Executive,30-10-2020,yatin.butala@company.com,9956464658,Malegaon,INR 1282050,Nidhi Bala,5,1,B.Sc,9316228206
EMP679525,Oviya,Nayar,HR,Manager,01-11-2022,oviya.nayar@company.com,9822163795,Jammu,INR 1651148,Tanish Kashyap,3,9,M.Tech,9176298428
EMP404635,Kritika,Murty,Finance,Senior Executive,21-12-2020,kritika.murty@company.com,9220845907,Latur,INR 153844,Siya Chadha,1,7,MBA,9543050436
EMP427574,Qushi,Bhatti,Operations,Manager,07-11-2022,qushi.bhatti@company.com,9551304166,Singrauli,INR 1264556,Anjali Sahni,2,11,B.Sc,9786433029
EMP313045,Chakradhar,Sura,Finance,Junior Executive,07-04-2023,chakradhar.sura@company.com,9253942907,Srikakulam,INR 1579835,Sudiksha Vyas,5,2,M.Tech,9754385769
EMP715502,Ojasvi,Sood,HR,Associate,29-03-2023,ojasvi.sood@company.com,9038347222,Bijapur,INR 1726800,Parth Parekh,5,4,B.Tech,9472223538
EMP581056,Gaurav,Hayer,Finance,Junior Executive,06-03-2023,gaurav.hayer@company.com,9175226392,Gaya,INR 1557269,Harini Khatri,4,7,B.Sc,9779743232
EMP939513,Ishwar,Bava,Finance,Junior Executive,18-06-2022,ishwar.bava@company.com,9418105353,Mirzapur,INR 342565,Parth Ravel,2,20,M.Tech,9151871046
EMP771795,Orinder,Saxena,Finance,Senior Executive,06-12-2024,orinder.saxena@company.com,9820645279,Saharanpur,INR 543111,Nakul Dave,2,15,M.Tech,9167723200
EMP773894,Shivani,Pal,Marketing,Senior Executive,27-01-2025,shivani.pal@company.com,9471247600,Farrukhabad,INR 1542798,Ayushman Ravi,3,10,B.Sc,9265311975
EMP030219,Hemang,Minhas,Finance,Team Lead,26-03-2021,hemang.minhas@company.com,9787643223,Morena,INR 1674354,Mitali Tella,2,11,M.Tech,9618999276
EMP426008,Rachana,Soman,Finance,Manager,25-12-2020,rachana.soman@company.com,9871754962,Jabalpur,INR 1295396,Anmol Narula,1,6,B.Tech,9261896310
EMP041797,Adweta,Johal,Marketing,Associate,13-05-2024,adweta.johal@company.com,9518520762,Madurai,INR 1568896,Advika Morar,5,1,M.Tech,9561358748
EMP171522,Owen,Sami,Marketing,Junior Executive,14-03-2022,owen.sami@company.com,9899217416,Nizamabad,INR 1310947,Suhani Mannan,5,1,B.Tech,9586551899
EMP701171,Kamala,Bansal,Operations,Senior Executive,11-07-2021,kamala.bansal@company.com,9111623479,Siwan,INR 690253,Jyoti Ramakrishnan,3,15,M.Tech,9879528262
EMP729285,Warda,Rattan,Marketing,Junior Executive,30-10-2020,warda.rattan@company.com,9911569160,Hajipur,INR 1590175,Maanas Sankaran,5,10,B.Com,9549182588
EMP604573,Umang,Dhaliwal,Marketing,Team Lead,18-09-2023,umang.dhaliwal@company.com,9562453035,Vadodara,INR 452378,Zayan Nori,4,16,B.Com,9075972656
EMP959078,Niharika,Sule,Finance,Manager,28-02-2021,niharika.sule@company.com,9750106206,Bhavnagar,INR 242687,Tripti Pandit,2,19,B.Sc,9678325687
EMP233182,Reyansh,Kota,Marketing,Manager,25-09-2024,reyansh.kota@company.com,9120516699,Morena,INR 476864,Ekansh Varty,1,5,B.Sc,9730390716
EMP794408,Megha,Mitter,Operations,Team Lead,16-09-2021,megha.mitter@company.com,9580383622,Kumbakonam,INR 1743617,Mekhala Mall,1,4,MBA,9804662775
EMP804149,Vrinda,Bassi,HR,Junior Executive,26-02-2023,vrinda.bassi@company.com,9092153370,Tiruchirappalli,INR 1945914,Sudiksha Ramaswamy,2,6,MBA,9481175596
EMP604202,Aarav,Seshadri,IT,Team Lead,14-02-2021,aarav.seshadri@company.com,9382969059,Khora ,INR 1783740,Devansh Suri,5,1,B.Com,9850524505
EMP475873,Riya,Khatri,Finance,Manager,01-07-2020,riya.khatri@company.com,9847822167,Mumbai,INR 687044,Jatin Brahmbhatt,4,18,B.Tech,9306205308
EMP028870,Qadim,Kade,Marketing,Senior Executive,22-07-2021,qadim.kade@company.com,9160335679,Meerut,INR 661818,Chandani Kalita,3,17,B.Sc,9212918102
EMP442261,Prisha,Chahal,Finance,Junior Executive,22-02-2024,prisha.chahal@company.com,9321533765,Gurgaon,INR 1320194,Kalpit Badal,2,12,B.Sc,9743915749
EMP795539,Yashvi,Rajagopalan,Operations,Manager,15-01-2024,yashvi.rajagopalan@company.com,9975871795,Buxar,INR 1911786,Vincent Kapoor,3,10,MBA,9326595613
EMP173413,Manan,Hari,Finance,Senior Executive,11-01-2024,manan.hari@company.com,9538166606,Thrissur,INR 278447,Lucky Sundaram,1,16,MBA,9866971002
EMP174968,Hamsini,Bawa,HR,Junior Executive,26-12-2020,hamsini.bawa@company.com,9513823542,Ichalkaranji,INR 622014,Triveni Murty,1,16,M.Tech,9185186000
EMP221894,Charita,Gill,HR,Associate,15-09-2023,charita.gill@company.com,9407438736,Nagercoil,INR 448702,Janya Som,4,3,B.Com,9918009210
EMP293818,Sudiksha,Manne,Marketing,Manager,15-03-2024,sudiksha.manne@company.com,9421790552,Nagpur,INR 1115798,Eta Parsa,3,1,B.Sc,9554077652
EMP726696,Jason,Kapoor,Marketing,Team Lead,08-06-2024,jason.kapoor@company.com,9919223797,Mathura,INR 1644586,Anusha Chaudhary,2,0,B.Tech,9495066639
EMP286533,Victor,Kota,Operations,Associate,02-11-2023,victor.kota@company.com,9527245890,Aurangabad,INR 1892700,Harish Bassi,2,20,B.Tech,9761805564
EMP965527,Ekansh,Ganesh,Marketing,Junior Executive,12-11-2024,ekansh.ganesh@company.com,9778868785,Nagercoil,INR 565034,Aashi Ghosh,5,2,MBA,9270476785
EMP236656,Vasatika,Bakshi,Operations,Associate,02-10-2022,vasatika.bakshi@company.com,9441313976,Vijayanagaram,INR 34711,Sanaya Sharaf,4,4,MBA,9458706883
EMP445983,Girindra,Shan,Marketing,Manager,11-10-2020,girindra.shan@company.com,9482362140,Yamunanagar,INR 1486520,Tara Nori,3,7,B.Sc,9716218434
EMP075663,Eiravati,Chawla,Finance,Junior Executive,25-06-2021,eiravati.chawla@company.com,9474329988,Patiala,INR 1506517,Chavvi Agarwal,1,14,B.Com,9448418886
EMP608989,Waida,Panchal,Operations,Junior Executive,25-01-2024,waida.panchal@company.com,9989043373,Ambarnath,INR 1616398,Charita Saxena,3,17,B.Tech,9507126814
EMP072068,Adweta,Gandhi,IT,Associate,04-07-2022,adweta.gandhi@company.com,9194725191,Vasai-Virar,INR 802405,Raksha Krish,4,20,B.Com,9632640480
EMP042502,Lila,Chand,HR,Manager,30-06-2020,lila.chand@company.com,9670998264,Jalna,INR 1902217,Ekaraj Narang,2,16,M.Tech,9974871991
EMP650921,Aadi,Venkatesh,Marketing,Team Lead,28-09-2024,aadi.venkatesh@company.com,9827987823,Chandigarh,INR 1745559,Abhimanyu Mand,5,5,B.Com,9803107116
EMP523286,Pranav,Sheth,HR,Team Lead,15-01-2021,pranav.sheth@company.com,9473703842,Amroha,INR 1179256,Advik Palan,3,15,M.Tech,9217762386
EMP480883,Parth,Bandi,Finance,Team Lead,15-07-2023,parth.bandi@company.com,9963727298,Sasaram,INR 1856843,Champak Gandhi,3,17,M.Tech,9681908873
EMP209748,Gavin,Garde,IT,Manager,16-06-2021,gavin.garde@company.com,9136984742,South Dumdum,INR 1235608,Pooja Sankar,3,1,MBA,9359360990
EMP756464,Aarna,Swaminathan,Marketing,Junior Executive,12-07-2024,aarna.swaminathan@company.com,9687584861,Jamshedpur,INR 1515850,Ubika Bawa,1,13,B.Sc,9782692159
EMP913190,Hredhaan,Dutta,IT,Team Lead,11-08-2024,hredhaan.dutta@company.com,9537380861,Machilipatnam,INR 1455119,Lakshit Khanna,3,19,MBA,9550478664
EMP241627,Vedika,Tak,HR,Senior Executive,27-12-2020,vedika.tak@company.com,9130204472,Secunderabad,INR 319588,Peter Halder,3,19,M.Tech,9904344883
EMP726490,Amol,Dalal,HR,Associate,11-07-2022,amol.dalal@company.com,9501553480,Hazaribagh,INR 213554,Arunima Banik,4,20,M.Tech,9463340795
EMP599471,Amrita,Bobal,HR,Associate,12-08-2023,amrita.bobal@company.com,9417417306,Faridabad,INR 125631,Atharv Choudhury,3,13,MBA,9837304967
EMP481493,Xalak,Tandon,Finance,Junior Executive,03-12-2020,xalak.tandon@company.com,9938884223,Kozhikode,INR 167049,Udant Acharya,3,2,B.Sc,9285045635
EMP204588,Ryan,Kalla,HR,Team Lead,23-09-2020,ryan.kalla@company.com,9958316305,Amroha,INR 1129046,Ayush Parmer,4,13,M.Tech,9185204761
EMP475800,Sanya,Babu,IT,Senior Executive,21-04-2022,sanya.babu@company.com,9375659830,Ranchi,INR 751229,Samuel Arya,2,4,B.Sc,9311367408
EMP262853,Aarna,Srinivasan,Finance,Manager,22-07-2024,aarna.srinivasan@company.com,9189909898,Jhansi,INR 1519525,Utkarsh Palla,5,17,B.Tech,9412524558
EMP418139,Aarnav,Raghavan,Finance,Associate,11-07-2022,aarnav.raghavan@company.com,9172144684,Jamshedpur,INR 1861167,Nisha Walla,3,18,B.Com,9975148594
EMP959650,Lajita,Dayal,Finance,Senior Executive,23-10-2024,lajita.dayal@company.com,9651532538,Machilipatnam,INR 1755390,Oeshi Manne,4,7,M.Tech,9189988703
EMP205786,Upkaar,Sundaram,Marketing,Associate,15-12-2020,upkaar.sundaram@company.com,9454132468,Ambala,INR 115502,Arjun Agate,3,17,B.Com,9784394633
EMP764548,Ikshita,Nazareth,Marketing,Team Lead,29-08-2024,ikshita.nazareth@company.com,9210996082,Nanded,INR 1812344,Vrishti Ranganathan,1,4,M.Tech,9389710553
EMP321516,Yochana,Prakash,Marketing,Associate,04-07-2023,yochana.prakash@company.com,9443571705,Begusarai,INR 1501692,Isaac Bhattacharyya,3,15,M.Tech,9481023827
EMP094296,Yatan,Prabhu,HR,Associate,06-10-2023,yatan.prabhu@company.com,9508628111,Bettiah,INR 1663987,Warda Karpe,3,2,B.Com,9869252111
EMP895977,Robert,Gulati,HR,Senior Executive,23-11-2021,robert.gulati@company.com,9110624409,Bihar Sharif,INR 1004298,Hemang Bhagat,1,2,B.Com,9448922512
EMP631844,Radhika,Koshy,HR,Junior Executive,10-01-2021,radhika.koshy@company.com,9391171323,Asansol,INR 1455901,Jasmit Pandit,2,10,B.Tech,9022194693
EMP643937,Elijah,Salvi,Operations,Junior Executive,19-04-2022,elijah.salvi@company.com,9804572506,Siwan,INR 768497,Upma Chaudry,2,15,MBA,9071538625
EMP959079,Gaurika,Mahal,HR,Associate,18-04-2023,gaurika.mahal@company.com,9332190855,Fatehpur,INR 1576465,Widisha Mane,1,8,MBA,9312508379
EMP708962,Madhav,Dora,Finance,Junior Executive,01-11-2023,madhav.dora@company.com,9998938603,Rajpur Sonarpur,INR 1466876,Warinder Banik,2,8,MBA,9697308796
EMP036129,Manbir,Chadha,Marketing,Junior Executive,16-04-2024,manbir.chadha@company.com,9363051552,Ujjain,INR 447225,Naksh Narayanan,5,19,M.Tech,9530139467
EMP043289,Mekhala,Koshy,IT,Manager,15-09-2020,mekhala.koshy@company.com,9658170964,Delhi,INR 1105843,Gopal Iyengar,2,11,B.Sc,9296479009
EMP880201,Dhriti,Tak,IT,Manager,20-01-2023,dhriti.tak@company.com,9847748939,Kozhikode,INR 238865,Ekbal Apte,2,10,MBA,9221648268
EMP162487,Aryan,Lad,Marketing,Associate,09-04-2024,aryan.lad@company.com,9930665632,Purnia,INR 1025887,Vasatika Murty,3,11,M.Tech,9621027639
EMP827822,Balhaar,Mallick,HR,Team Lead,23-01-2022,balhaar.mallick@company.com,9546398331,Ujjain,INR 1170571,Chandresh Varughese,4,5,B.Com,9410156167
EMP063774,Vincent,Tiwari,Operations,Junior Executive,01-09-2023,vincent.tiwari@company.com,9957846688,Salem,INR 1790821,Geetika Malhotra,2,2,MBA,9352240168
EMP605712,Zehaan,Karnik,Operations,Associate,24-10-2023,zehaan.karnik@company.com,9573747117,Satna,INR 1648871,David Sarma,4,10,M.Tech,9143610785
EMP794858,Ijaya,Sura,HR,Team Lead,29-06-2023,ijaya.sura@company.com,9235846804,Bhilai,INR 649796,Zansi Bandi,5,18,B.Com,9342803936
EMP658361,Ucchal,Prabhu,Finance,Senior Executive,24-12-2022,ucchal.prabhu@company.com,9394268756,Raiganj,INR 1571066,Suhani Chahal,5,12,B.Tech,9687812629
EMP981971,Saumya,Dhillon,HR,Team Lead,09-08-2024,saumya.dhillon@company.com,9791864345,Nangloi Jat,INR 104546,Mugdha Balasubramanian,1,13,B.Tech,9464660918
EMP206192,Kamala,Dhaliwal,Marketing,Associate,06-01-2025,kamala.dhaliwal@company.com,9610429935,Bhimavaram,INR 1546356,Widisha Mandal,3,7,B.Tech,9198254783
EMP845048,Qarin,Bobal,Marketing,Junior Executive,03-12-2020,qarin.bobal@company.com,9489509409,Raurkela Industrial Township,INR 1419591,Faris Dhawan,2,19,B.Sc,9271568461
EMP736603,Meera,Dave,Marketing,Junior Executive,06-07-2020,meera.dave@company.com,9534749740,Nandyal,INR 1200725,Ira Salvi,4,1,B.Sc,9624798210
EMP708161,Chandran,Gour,Operations,Manager,06-10-2021,chandran.gour@company.com,9984830274,Salem,INR 1194279,Nisha Seth,1,2,M.Tech,9731925939
EMP140413,Mugdha,Ramachandran,Operations,Senior Executive,03-06-2024,mugdha.ramachandran@company.com,9785923318,Mathura,INR 1709987,Rayaan Choudhury,3,19,B.Tech,9991103394
EMP327813,Vaishnavi,Mann,Operations,Junior Executive,29-09-2023,vaishnavi.mann@company.com,9488556995,Ozhukarai,INR 1121288,Bishakha Dasgupta,1,18,MBA,9148672641
EMP314866,Priya,Merchant,Operations,Manager,30-11-2022,priya.merchant@company.com,9039464982,Ahmednagar,INR 503160,Charles Sodhi,5,2,B.Tech,9895162499
EMP622487,Daksha,Bath,Operations,Senior Executive,08-02-2021,daksha.bath@company.com,9767146818,Tadepalligudem,INR 351066,Hamsini Parmer,5,16,M.Tech,9227816363
EMP775128,Bhavya,Saraf,HR,Team Lead,16-07-2021,bhavya.saraf@company.com,9608246252,Satara,INR 1729535,Faraj Bava,2,12,B.Tech,9529126545
EMP830118,Kamala,Reddy,Operations,Associate,08-01-2022,kamala.reddy@company.com,9599420943,Bhavnagar,INR 526389,Samesh Loke,1,10,B.Tech,9767137266
EMP059597,Darika,Khatri,Operations,Senior Executive,06-03-2024,darika.khatri@company.com,9540038850,Cuttack,INR 1135351,Oni Sur,1,4,B.Tech,9001594542
EMP567293,Siya,Pau,Marketing,Senior Executive,09-09-2021,siya.pau@company.com,9350026570,Kollam,INR 258796,Chakradev Kant,5,10,B.Com,9784680272
EMP817312,Oscar,Karpe,Marketing,Team Lead,07-11-2021,oscar.karpe@company.com,9122148538,Bhimavaram,INR 1329907,Sachi Tripathi,4,2,B.Com,9929989266
EMP169949,Samesh,Nanda,Finance,Manager,26-05-2022,samesh.nanda@company.com,9945401089,Nagercoil,INR 1099841,Yashoda Toor,3,14,B.Com,9312586891
EMP701506,Chatura,Kashyap,HR,Junior Executive,12-07-2020,chatura.kashyap@company.com,9251507852,Machilipatnam,INR 1904922,Frederick Dugal,3,17,B.Com,9327899441
EMP222035,Champak,Bakshi,Marketing,Manager,19-09-2023,champak.bakshi@company.com,9859487001,Kollam,INR 889044,Brinda Bains,1,20,B.Tech,9258140240
EMP161053,Vasana,Wadhwa,IT,Manager,29-05-2020,vasana.wadhwa@company.com,9663265165,Tiruchirappalli,INR 323486,Amara Bhatnagar,1,13,B.Sc,9369682739
EMP309856,Vansha,Prakash,HR,Junior Executive,21-07-2023,vansha.prakash@company.com,9524634836,Jalandhar,INR 264895,Simon Agarwal,3,5,B.Sc,9112335582
EMP432634,Mohini,Naik,Operations,Manager,07-11-2023,mohini.naik@company.com,9273044518,Madhyamgram,INR 1375928,Yatan Malhotra,2,2,MBA,9198273424
EMP952952,Yatan,Grover,Finance,Senior Executive,22-09-2024,yatan.grover@company.com,9572084347,Bellary,INR 991888,Qarin Dua,1,9,MBA,9094473415
EMP765388,Eesha,Hayre,Finance,Team Lead,10-02-2025,eesha.hayre@company.com,9542210250,Sirsa,INR 1898843,Amol Nagy,1,3,B.Sc,9103297305
EMP131308,Ojas,Sridhar,HR,Team Lead,29-04-2023,ojas.sridhar@company.com,9657370597,Patiala,INR 1993543,Lekha Koshy,3,19,MBA,9074739831
EMP491298,Pavani,Bhalla,Operations,Team Lead,12-09-2022,pavani.bhalla@company.com,9112830662,Shimla,INR 1071800,George Misra,1,4,MBA,9446132626
EMP885031,Vasatika,Tandon,HR,Associate,03-01-2025,vasatika.tandon@company.com,9585906918,Alwar,INR 1159236,Onveer Khalsa,5,18,B.Sc,9980289230
EMP262978,Utkarsh,Sethi,Operations,Associate,04-10-2022,utkarsh.sethi@company.com,9808913716,Tenali,INR 108491,Fiyaz Bhakta,3,8,B.Tech,9010818914
EMP304838,Frado,Bhasin,Finance,Senior Executive,13-07-2023,frado.bhasin@company.com,9896001834,Tirunelveli,INR 1547831,Qarin Verma,2,18,B.Com,9808651042
EMP106894,Aarini,Nagy,HR,Team Lead,21-03-2021,aarini.nagy@company.com,9977242788,Morbi,INR 1471374,Dalaja Loyal,3,19,MBA,9909372551
EMP524220,Charvi,Shere,HR,Team Lead,18-03-2021,charvi.shere@company.com,9774112573,Naihati,INR 165536,Vihaan Khare,1,13,B.Tech,9589278195
EMP960684,Hemang,Tiwari,HR,Junior Executive,20-11-2021,hemang.tiwari@company.com,9816004379,Morena,INR 1878718,Meera Sarin,4,3,MBA,9502899935
EMP730850,Banjeet,Jani,Operations,Team Lead,30-12-2024,banjeet.jani@company.com,9221660796,Muzaffarpur,INR 1691884,Bahadurjit Parmer,4,8,M.Tech,9807913755
EMP506635,Tanveer,Bumb,Finance,Senior Executive,14-06-2022,tanveer.bumb@company.com,9420887817,Raiganj,INR 1381688,Yahvi Rama,1,0,B.Com,9254057164
EMP673861,Isaiah,Soni,Marketing,Associate,25-10-2022,isaiah.soni@company.com,9115867843,Bhimavaram,INR 1443646,Chakrika Deol,3,9,M.Tech,9844897892
EMP830093,Parth,Upadhyay,HR,Senior Executive,26-11-2024,parth.upadhyay@company.com,9507153256,Aurangabad,INR 1528896,Sudiksha Hora,5,6,B.Com,9879062842
EMP514702,Lajita,Kumar,IT,Junior Executive,05-08-2024,lajita.kumar@company.com,9243002055,Mathura,INR 703018,Jonathan Lalla,4,10,B.Sc,9869085998
EMP934624,Eiravati,Mangal,Operations,Senior Executive,05-09-2024,eiravati.mangal@company.com,9112067148,Sangli-Miraj & Kupwad,INR 1554246,Yachana Sahni,3,8,MBA,9667555015
EMP295654,Tanveer,Wable,IT,Junior Executive,30-09-2020,tanveer.wable@company.com,9754987360,Varanasi,INR 468594,Imaran Kadakia,4,0,B.Tech,9546698874
EMP686032,Raagini,Venkatesh,HR,Senior Executive,15-10-2024,raagini.venkatesh@company.com,9897259202,Bahraich,INR 1522845,Andrew Savant,3,15,MBA,9065432977
EMP326077,Yashodhara,Date,Marketing,Manager,21-10-2023,yashodhara.date@company.com,9298847603,Ramagundam,INR 1101541,Arya Ganguly,3,9,MBA,9118958648
EMP656520,Yatin,Trivedi,Operations,Associate,09-05-2023,yatin.trivedi@company.com,9480755605,Amritsar,INR 900958,Anika Varghese,1,12,M.Tech,9395865971
EMP284614,Christopher,Nagar,Finance,Team Lead,01-05-2023,christopher.nagar@company.com,9183546556,Mumbai,INR 1280529,Jason Sampath,5,13,MBA,9768725761
EMP662670,Laban,Kannan,HR,Junior Executive,17-08-2024,laban.kannan@company.com,9588990699,Bangalore,INR 1219596,Jackson Singh,4,7,B.Com,9267116528
